HGNC symbol,Chromosome Name,Gene Start (bp),Gene End (bp)
IGHV7-27,14,106774086,106774499
IGLVI-56,22,22552960,22553411
IGHVII-28-1,14,106785676,106785916
IGLVIV-53,22,22574039,22574525
IGHV3-29,14,106787368,106787804
TOP3BP1,22,22577580,22578959
PPIAP3,20,36158441,36158945
IGHVII-30-1,14,106798646,106798877
IGHV3-30-2,14,106800319,106800757
CSH2,17,61949372,61951126
IGHVII-31-1,14,106810597,106810633
IGHV3-32,14,106812091,106812517
LINC00489,20,36247700,36251521
STRADBP1,7,150209647,150210927
CCDC34P1,4,112989166,112989682
IGHVII-33-1,14,106823315,106823594
ALDH7A1P3,7,150238842,150239186
IGHV3-33-2,14,106825038,106825477
ATG9B,7,150709302,150721586
CNN2P8,HG686_PATCH,95501084,95501996
GTF3C1,16,27470876,27561234
GBA,HSCHR1_2_CTG31,155219647,155229865
APOBEC3B-AS1,HSCHR22_1_CTG2,39357616,39364275
CYP4F32P,HG686_PATCH,95523006,95524026
IQCA1P1,7,150887960,150902581
SNX18P14,HG686_PATCH,95550435,95551008
GNAI2,3,50263724,50296787
WDR86-AS1,7,151106247,151110440
KRTAP16-1,HSCHR17_1_CTG4,39463952,39465505
C3orf18,3,50595462,50608458
IGHV7-34-1,14,106833231,106833664
IGHV3-36,14,106848685,106849142
KRTAP17-1,HSCHR17_1_CTG4,39471169,39471947
IGHV3-37,14,106852588,106853026
IGHVIII-38-1,14,106873942,106873995
KRT33A,HSCHR17_1_CTG4,39502344,39507064
IGHV7-40,14,106881270,106881468
FAM189B,HSCHR1_2_CTG31,155232400,155240678
STAM,10,17686124,17757913
ETF1P2,7,151198964,151200549
PRKAG2-AS1,7,151574127,151576299
YBX1P4,7,151825964,151826771
ATP6V0E1P1,5,132284185,132284410
SEPT7P6,7,152064604,152065746
FABP5P3,7,152133980,152140272
FDPSP2,7,76099479,76100375
FDXACB1,HG388_HG400_PATCH,111744779,111751966
KCNJ13,2,233631174,233641278
RTEL1P1,4,113277291,113280900
IGHVII-40-1,14,106896861,106896918
IGHV3-41,14,106899044,106899493
TOX4P1,4,113377080,113378941
GPSM2,1,109417972,109473044
CCT8L1P,7,152142562,152144235
IGHV3-42,14,106919183,106919483
IGHVII-43-1,14,106928717,106928888
ATP5F1P3,7,152446164,152446820
IGHVIII-44,14,106934226,106934399
LINC00221,14,106938445,106977000
C2orf82,2,233721980,233743418
OSTCP4,4,113606211,113606659
RWDD3,1,95699711,95712781
IGHVIV-44-1,14,106945352,106945763
WRBP1,4,113614615,113614948
IGHVII-44-2,14,106950148,106950397
FDPSP7,7,76597514,76598567
IGHVII-46-1,14,106971752,106971788
MTND4P17,3,165877809,165878158
RPL7AP30,4,113709239,113710034
IGHV3-47,14,106974509,106974954
MTND3P7,3,165878565,165878907
IGHVIII-47-1,14,106987143,106987473
DTX2P1,7,76607934,76673092
IGHVII-49-1,14,107020363,107020586
IGHV3-50,14,107022105,107022543
MTND6P4,5,134259813,134260334
PSAT1P4,3,166408975,166409503
C17orf82,17,59489112,59490641
MTND5P11,5,134260338,134262149
IGHVIII-51-1,14,107039493,107039794
MTND4P12,5,134262350,134263726
SLC38A3,3,50242679,50258411
CBX1P5,3,166528797,166529355
MIR4461,5,134263720,134264016
IGHVII-51-2,14,107040702,107040960
HEMK1,3,50606583,50622366
IGHV3-52,14,107042360,107042810
HMGN1P8,3,167412143,167412430
DTX2P1-UPK3BP1-PMS2P11,7,76610266,76673092
IGHVII-53-1,14,107055682,107055936
IGHV3-54,14,107057358,107057795
CLCC1,1,109472130,109506111
IGHV4-55,14,107062111,107062561
IGHV7-56,14,107065772,107066206
UPK3BP1,7,76633979,76635091
IGHV3-57,14,107074907,107075186
PMS2P11,7,76640868,76645170
CIR1P2,4,115634735,115636076
SPDYE8P,7,76651635,76661674
IGHV3-60,14,107087202,107087658
MRPS33P3,4,116064138,116064459
IGHVII-60-1,14,107093723,107093978
RPF2P2,4,116549968,116550863
NGEF,2,233743396,233877982
IGHV3-62,14,107099145,107099588
TBX4,17,59529765,59562471
NYAP2,2,226265364,226518734
PGAM4P2,4,116685255,116685962
IGHVII-62-1,14,107106555,107106789
KRT18P21,4,116841863,116843134
PMS2P9,7,76669261,76673093
IGHV3-63,14,107108252,107108696
IRS1,2,227599757,227664475
MNF1,6,33665345,33679504
PTBP2,1,97187221,97280349
MEMO1P3,3,167606202,167606503
RHBDD1,2,227700297,227863931
IGHV3-65,14,107122108,107122548
IGHVII-65-1,14,107127813,107128060
IGHV1-67,14,107136620,107137059
EIF3KP3,4,116964563,116965201
SLC20A1P1,14,107139412,107140367
IGHVII-67-1,14,107142534,107142579
TTC39CP1,4,117115158,117115893
IGHVIII-67-2,14,107143130,107143217
TRMT112P1,4,117300075,117300425
HMGN2P26,3,167676532,167676870
EGFEM1P,3,167967310,168548387
IGHVIII-67-3,14,107148674,107148905
TMEM236,10,17794251,17842867
IGHVIII-67-4,14,107151119,107151414
CUL4AP1,4,117347821,117352048
IGHV1-68,14,107159869,107160163
IGHV3-71,14,107183396,107183857
IGHVII-74-1,14,107229405,107229645
IGHV3-75,14,107231917,107232377
ACTN4P1,4,117519317,117520767
CISH,3,50643921,50649262
RPL21P43,3,168576447,168576918
SEMA3B,3,50304990,50314977
WDR47,1,109512836,109584850
IGHV3-76,14,107236097,107236391
IGHVIII-76-1,14,107239994,107240279
IP6K3,6,33689444,33714762
IGHV5-78,14,107259338,107259632
IGHVII-78-1,14,107273842,107274110
KRT18P43,3,169620768,169622048
IGHV3-79,14,107275873,107276304
IGHV4-80,14,107281000,107281252
IGHVIII-82,14,107287770,107288019
NACA2,17,59667794,59668563
SEC62-AS1,3,169696324,169703503
BRIP1,17,59758627,59940882
KIAA0556,16,27561454,27791690
KRT8P13,3,170213416,170214425
KLF7P1,3,170670639,170671686
TMEM212-AS1,3,171594142,171618530
TMEM212-IT1,3,171612226,171613030
BZW1P1,3,172143640,172144879
DPYD,1,97543299,98386605
SLC31A1P1,3,172321230,172321796
LEMD2,6,33738979,33756913
ATP5G1P4,3,172546526,172546966
NLGN1-AS1,3,173628288,173638586
INTS2,17,59942731,60005377
NAALADL2-AS3,3,174797097,174833032
TAF13,1,109605121,109618624
NAALADL2-AS2,3,174952651,174988885
UBE2V1P2,3,175436019,175436458
NAALADL2-AS1,3,175490933,175494121
FKBP4P1,4,119114560,119115908
NDUFS5P5,4,119321669,119321989
CEP170P1,4,119388744,119477279
TMEM167B,1,109633357,109639556
SNX7,1,99127236,99226056
CICP16,4,119558111,119559179
C1orf194,1,109648573,109656479
KLHL2P1,4,120255484,120299388
ZMYND10-AS1,3,50378537,50383128
GSG1L,16,27798850,28074830
ZNF652P1,3,50824105,50825716
ST13P14,3,50914143,50915088
MTND5P15,3,176728507,176728855
TBL1XR1-AS1,3,176762649,176765711
IQCF5-AS1,3,51907612,51909783
LINC00501,3,177012230,177041206
ASS1P7,3,177014949,177016174
ALDOAP1,3,52227186,52228801
LINC00578,3,177159709,177470093
GLYCTK-AS1,3,52322596,52333083
ITIH4-AS1,3,52857951,52859330
DCP1A,3,53317448,53381637
KIAA1324,1,109656301,109749401
IQSEC3,12,175931,287626
MED13,17,60019966,60142643
MRC1,10,18098352,18200091
MLN,6,33762450,33771788
CABYRP1,3,54081776,54082820
RPS15P5,3,54660242,54660673
ESRG,3,54666149,54673884
CACNA2D3-AS1,3,54908632,54935282
XPO6,16,28109300,28223241
WNT5A-AS1,3,55521727,55522336
KCNMB2-IT1,3,178136989,178175097
PALMD,1,100111499,100160097
LRRFIP1P1,3,178976816,178979061
EFCAB3,17,60447579,60493837
PEX5L-AS1,3,179593164,179599397
PEX5L-AS2,3,179616017,179639683
GAPDHP36,3,179918924,179930896
ARHGEF3-AS1,3,56974068,56994882
RNF7P1,3,57505396,57505737
PPIAP16,3,57927545,57928031
CCDC39-AS1,3,180397872,180418237
FLNB-AS1,3,58148274,58156363
FLYWCH1P1,3,180545765,180547638
SLC6A12,12,299243,323736
SOX2-OT,3,180707558,181554668
FRRS1,1,100174259,100232187
METTL2A,17,60501228,60527454
RPL10AP6,3,61728129,61728780
GRM4,6,33989628,34123399
AGL,1,100315640,100389579
SARS,1,109756540,109780791
LTV1P1,4,121012204,121013416
SETP12,4,121817287,121817815
IL21-AS1,4,123540138,123610311
CETN4P,4,123651703,123653348
SLC39A12,10,18240768,18332221
TLK2,17,60536019,60692842
GH2,17,61957578,61959295
SBK1,16,28303840,28335170
RPL7L1P8,3,182328462,182329202
HMGA1,6,34204577,34214008
MCCC1-AS1,3,182734043,182735596
KLHL6-AS1,3,183266523,183270114
YEATS2-AS1,3,183524245,183526729
CYP2AB1P,3,183613831,183630361
ABCC5-AS1,3,183724126,183729207
EEF1A1P8,3,183744157,183745544
HTR3E-AS1,3,183812906,183822966
HSP90AA5P,3,183833140,183835686
KRT8P35,3,63082050,63083387
EIF2B5-IT1,3,184222901,184226187
EIF2B5-AS1,3,184264502,184274706
SYNPR-AS1,3,63409272,63535727
EIF3CL,16,28390900,28415200
EHHADH-AS1,3,184880659,184909743
EIF2S2P2,3,184963248,184964229
RPL4P4,3,185135283,185136566
THOC7-AS1,3,63846321,63847495
PSMD6-AS2,3,63989698,63997824
PRICKLE2-AS1,3,64084949,64086798
PRICKLE2-AS2,3,64089146,64091732
SLC6A13,12,329789,372039
CSH1,17,61972278,61974021
PRICKLE2-AS3,3,64173220,64186641
ADAMTS9-AS1,3,64547014,64573878
ADAMTS9-AS2,3,64670585,64997143
TECRP2,4,125384021,125384475
RPL17P17,3,65829565,65830121
MAGI1-IT1,3,65858490,65940233
MAGI1-AS1,3,65879491,65910972
NUPL1P1,4,126602352,126604605
RPL21P41,3,66687573,66687836
TMEM248P1,4,126644422,126645371
RBM48P1,4,127484664,127485931
PSMC1P1,3,68684856,68686175
C6orf1,6,34214157,34217247
SLC35A3,1,100435345,100492535
CACNB2,10,18429606,18830798
ETV5-AS1,3,185796959,185798736
UQCRHP4,3,70189368,70189639
HMGB1P36,3,70803005,70803724
FOXP1-AS1,3,71338920,71355004
FOXP1-IT1,3,71619406,71623608
CELSR2,1,109792641,109818377
MRC2,17,60704762,60770958
NPIPL1,16,28467693,28481868
FOSL1P1,4,129076544,129077359
PSMD10P2,3,186478893,186479564
ADIPOQ-AS1,3,186569675,186573912
RPS20P14,3,186617987,186618346
HIAT1,1,100503653,100548933
FTH1P23,3,72978195,72978744
CLN3,16,28477983,28506896
CCDC75P1,3,73231652,73232442
PDZRN3-AS1,3,73672719,73674658
LPP-AS1,3,188280026,188286454
TPRG1-AS1,3,188659504,188665428
TPRG1-AS2,3,188956475,188958383
AKR1B1P2,3,74185110,74186043
MTAPP2,3,189686819,189687650
NIPA2P2,3,75133306,75134388
LEPREL1-AS1,3,189838753,189862635
MYLKP1,3,75377700,75388222
GCNT1P3,3,190342384,190342958
OR7E22P,3,75405667,75406654
CCT6P4,3,190432600,190434188
SASS6,1,100549119,100598511
OSTN-AS1,3,190931080,190952394
LSP1P2,3,75444339,75444471
ALG1L6P,3,75464221,75471294
FAM86DP,3,75470703,75484261
RPS3AP15,3,75591300,75592080
UNC93B3,3,75668657,75673000
TRMT13,1,100598706,100616053
AGGF1P3,3,75702712,75703924
MARCH10,17,60778675,60885705
NUDT3,6,34255997,34360451
MRPS17P3,3,78574251,78574635
HMGB1P38,3,80006716,80007292
LRRC39,1,100614409,100643771
KDM5A,12,389295,498620
SETP6,3,81661389,81661956
DBT,1,100659736,100715390
ZSWIM5P3,4,130057080,130060908
TANC2,17,61086917,61505060
RPS10,6,34385231,34393902
PGBD4P4,4,131415584,131416430
SRRM1P2,3,83986196,83987387
GAPDHP56,4,131424521,131425499
CADM2-AS2,3,85849137,85877200
RTCA,1,100731763,100758325
PACSIN1,6,34433916,34503006
CADM2-AS1,3,86041333,86077157
PRKRIRP2,3,86061711,86064270
ELL2P2,4,133288941,133289634
PPATP1,3,87100342,87101888
KRT8P25,3,87372418,87373873
PSMC1P6,3,87679451,87680769
CBX5P1,3,88144558,88145118
R3HDM2P1,4,134046107,134047210
GAPDHP50,3,89096592,89097584
PES1P1,4,135248218,135249953
PROSP,3,90251466,90306565
SPDEF,6,34505579,34524110
HMGN1P7,3,93707478,93707790
RBBP4P2,3,93794756,93796019
CDC14A,1,100810584,100985833
CCDC77,12,498439,551811
ARMC10P1,3,94225610,94226464
C6orf106,6,34555065,34664636
CYB561,17,61509665,61523739
KRT18P54,4,136292332,136293079
TARS2P1,4,136486272,136488312
LINC00613,4,136788138,136834835
SNRPC,6,34725183,34741571
TERF1P3,4,137276268,137277491
WDR82P1,3,94655930,94656868
NSUN6,10,18834490,18940551
HNRNPKP4,3,96068398,96069783
SERF1AP1,4,138222155,138222341
RPL18AP8,3,96338148,96338675
B4GALNT3,12,569530,672675
RCC2P5,3,96472029,96473515
CDV3P1,3,96495789,96496527
OR5BM1P,3,97772218,97772583
OR5AC1,3,97783316,97784240
OR5AC4P,3,97823598,97824516
POU5F1P7,3,97838051,97838558
OR5H5P,3,97916055,97916982
OR5H3P,3,97926267,97927185
OR5H4P,3,97940888,97941810
STMN1P2,4,138346195,138347021
OR5H7P,3,97957196,97958125
OR5H8P,3,98030757,98031687
UHRF1BP1,6,34759857,34850915
UBFD1P1,3,98152878,98153691
ST3GAL6-AS1,3,98433174,98451495
LINC00616,4,138948576,139051863
VTI1BP1,3,99944218,99944917
GMFBP1,3,100383894,100384320
ARL5B,10,18948334,18970568
GPR88,1,101003693,101007574
ACTR3P3,3,100881938,100882830
VCAM1,1,101185305,101204601
ZNF90P1,3,101076136,101078086
FAM172BP,3,101237711,101242731
PDCL3P4,3,101431316,101432035
NDUFA4P2,3,102959831,102960074
ACE,17,61554422,61599205
RPS20P24,9,75270748,75271108
SHH,7,155592680,155604967
MTND4P16,3,106613199,106614565
MTND3P6,3,106615330,106615668
CYP1D1P,9,75657661,75671444
EXTL2,1,101337943,101361554
C7orf13,7,156431057,156433348
MTND5P16,3,106617736,106619438
RPL37A,2,217362912,217443903
MTND6P6,3,106619440,106619702
MTND1P16,3,106619915,106620812
MTND2P14,3,106621020,106621370
SLC30A7,1,101361632,101447309
RNF32,7,156432975,156469824
LINC00635,3,107560150,107596940
DPH5,1,101455179,101491644
RBM22P5,9,78901410,78902997
IGFBP2,2,217497551,217529159
HNRNPA1P17,3,108044367,108045661
MORC1-AS1,3,108820303,108829189
LINC00488,3,108897012,108904104
PCA3,9,79379352,79402485
H3F3AP3,3,109128525,109128931
IGFBP5,2,217536828,217560248
PPIAP15,3,109190176,109190659
ATP5J2P3,9,79655317,79655589
PVRL3-AS1,3,110612555,110790400
OR2Y1,5,180166042,180167099
ATP6V0CP2,3,111197584,111197790
PLCXD2-AS1,3,111395583,111396280
MGAT1,5,180217541,180242652
RFKP2,3,111749778,111750496
OR7E100P,3,112243034,112244048
S1PR1,1,101702444,101707074
OLFM3,1,102268130,102462586
VPS13A-AS1,9,79791672,79792910
TNP1,2,217724181,217724787
WDR52-AS1,3,113122838,113152839
SIDT1-AS1,3,113307595,113309036
DIRC3,2,218148742,218621316
ZBTB20-AS1,3,114070658,114107825
LMBR1,7,156473571,156685924
ZBTB20-AS2,3,114403427,114406456
COL11A1,1,103342023,103574052
TNS1,2,218664512,218867718
ZBTB20-AS3,3,114591961,114595361
YBX1P3,3,114649388,114650296
ZBTB20-AS4,3,114819270,114821908
LSAMP-AS1,3,116078871,116088937
LSAMP-AS2,3,116271320,116287111
BZW1P2,3,116364592,116365574
LSAMP-AS3,3,116428253,116442428
LSAMP-AS4,3,116640278,116651085
PTMAP8,3,116745545,116745886
IGSF11-AS1,3,118661920,118667071
B4GALT4-AS1,3,118945333,119009513
RPS26P21,3,119017512,119017859
ARHGAP31-AS1,3,119033140,119041607
PHBP8,3,119510676,119511400
MTND2P8,9,81356636,81357660
KCNH6,17,61600695,61626338
CHCHD2P9,9,82006219,82006674
ZFP62,5,180274611,180288286
NAP1L1P3,3,120524713,120525592
MTND2P9,9,83179947,83180877
RPL7AP11,3,121212957,121213755
HNRNPA1P23,3,122036456,122037588
EIF4BP8,3,122379460,122381285
MYLK-AS1,3,123304389,123363415
MYLK-AS2,3,123408491,123411254
BTNL8,5,180326077,180377906
ITGB5-AS1,3,124500002,124506604
ENO1P3,3,124580941,124582164
DUTP1,3,125029725,125030194
RPS3AP14,3,125513949,125514728
NOM1,7,156742417,156765876
FAM86JP,3,125635463,125648867
SPATA31D5P,9,84528352,84534841
DCAF7,17,61627822,61671639
SPATA31D4,9,84543398,84549913
MNX1,7,156786745,156803239
ALDH1L1-AS1,3,125822483,125826912
ALDH1L1-AS2,3,125898908,125929012
SPATA31D3,9,84558474,84565009
NUP210P1,3,126379452,126390782
SPATA31D2P,9,84583753,84586985
RCC2P4,3,126485277,126486318
UBE3C,7,156931607,157062066
TACO1,17,61678231,61685725
RUVBL1-AS1,3,127794653,127797899
DNAJB8-AS1,3,128182437,128191160
MAP3K3,17,61699775,61773663
BTNL3,5,180415845,180433727
RUFY4,2,218899683,218955304
RNPC3,1,104068313,104097854
BTNL9,5,180467225,180488523
TMED10P2,3,128256863,128257474
POU5F1P6,3,128393578,128395848
MARK2P8,3,128467381,128468332
FTH1P4,3,128483309,128483861
RPS15AP16,3,128517684,128518044
MARK2P6,3,128570955,128571851
CXCR2,2,218990012,219001976
RPS27P12,3,128936936,128937193
H1FX-AS1,3,129034235,129045068
AMY2B,1,104096437,104122156
DNAJB6,7,157128075,157210133
NUP210P3,3,129041889,129044269
RPL32P3,3,129101765,129118498
ALG1L2,3,129800674,129832070
AMY2A,1,104159999,104168402
FAM86HP,3,129817935,129830315
AMY1A,1,104197912,104207173
CXCR1,2,219027568,219031718
ARPC2,2,219081817,219119079
COL6A4P2,3,129931666,129992649
LIMD2,17,61773262,61778532
OR2V1,5,180551357,180552304
GSTO3P,3,130546503,130547220
OR2V2,5,180581943,180582890
PIPOX,17,27277531,27384234
TRIM7,5,180620924,180632293
STK33P1,9,88107494,88109009
TRIM41,5,180649499,180662809
GPBAR1,2,219124219,219128582
AAMP,2,219128850,219134980
PTPRN2,7,157331750,158380480
PHBP7,9,88513818,88514631
GNB2L1,5,180663909,180675096
CDC20P1,9,89626567,89628066
DAPK1-IT1,9,90168369,90169374
CTSL3,9,90387368,90401799
PNKD,2,219135115,219211516
NCAPG2,7,158424003,158497520
CTSL1P8,9,90459067,90462229
SPATA31C1,9,90529408,90538572
TMBIM1,2,219138915,219157309
RPS10P3,9,90631215,90631708
SPATA31C2,9,90744220,90749900
HNRNPA1P14,9,91025798,91026363
PCNPP2,9,91585806,91586256
TRIM52,5,180681417,180688119
IL6RP1,9,92843585,92844801
OR4F3,5,180794269,180795263
ESYT2,7,158523686,158622944
C2orf62,2,219221579,219232822
LINC00484,9,93922051,93927858
SLC11A1,2,219246752,219261617
SDHAP3,5,1568637,1594735
PAICSP2,9,94373625,94374774
MTND4P15,9,94873147,94874179
WDR60,7,158649269,158749438
LINC00475,9,94903580,94921890
VIPR2,7,158820866,158937649
CTDSP1,2,219262979,219270664
ANKRD19P,9,95571670,95650975
HMGB3P3,5,6289970,6290737
EEF1DP2,9,95599108,95599983
VIL1,2,219283815,219318018
SNX18P2,9,95655950,95656787
ALOX15P2,9,95675438,95683842
CELSR3,3,48673902,48700348
MIRLET7DHG,9,96938884,96966818
USP37,2,219314974,219433084
PSMG3-AS1,7,1609709,1629262
MTND6P2,5,8618693,8619216
TFAMP1,7,1654226,1654961
GRIFIN,7,2514360,2516528
MT1P1,9,98175401,98175799
ROPN1L-AS1,5,10441402,10441904
LINC00476,9,98520892,98638259
RNF216P1,7,5013619,5080306
ANKRD33B-IT1,5,10594938,10596322
ANKRD33B-AS1,5,10627372,10628337
NCKIPSD,3,48701364,48723797
LINC00092,9,98782014,98790247
EIF4BP3,9,98908307,98910141
RQCD1,2,219433303,219461803
ZNF890P,7,5160870,5184177
CCT6P2,5,14639535,14641127
RNF216-IT1,7,5702063,5720092
ZNF815P,7,5862791,5894066
RBBP4P1,5,14797234,14798509
YRDCP2,9,99717359,99717737
TCEA1P1,9,99830031,99830905
UQCRBP3,5,14874509,14874820
HNRNPKP5,5,14877776,14878028
PLCD4,2,219472488,219501907
VN1R51P,9,99855976,99856920
SEPHS1P5,5,14960341,14961502
FAM220CP,9,99883941,99884713
ANKRD18CP,9,99918175,99983538
MARK2P5,5,15384329,15384962
ZNF316,7,6676953,6694242
IP6K2,3,48725436,48777786
PMS2CL,7,6749759,6793493
ZNF322P1,9,99959537,99961910
DCAF13P2,5,17202383,17203254
UNC93B2,7,6895116,6899461
FTH1P10,5,17353804,17354733
ZNF142,2,219502639,219524378
OR7E136P,7,6906289,6907303
IGHV2OR16-5,16,32859177,32859538
FNBP4,11,47738072,47788995
SLC6A10P,16,32888797,32896822
FANCG,9,35073832,35080013
ZDHHC16,10,99205927,99217127
IGHV3OR16-6,16,32926655,32959102
CNPY2,12,56703626,56710120
STXBP5,6,147525561,147706866
IGHV3OR16-8,16,33013780,33013942
HERC2P8,16,33105525,33140411
NUP160,11,47799639,47870107
FAM108A10P,16,33152171,33155115
PAN2,12,56710007,56727837
PIGO,9,35088685,35096591
IGHV3OR16-13,16,33629683,33630124
IGHV3OR16-7,16,33647044,33654569
SAMD5,6,147830063,148058683
SASH1,6,148593440,148873186
IL23A,12,56732663,56734193
STAT2,12,56735381,56753939
MMS19,10,99218081,99258551
PCMTD1P2,16,33941656,33942010
PTPRJ,11,48002113,48189670
CCNYL3,16,34262756,34318684
UST,6,149068464,149398126
VN1R68P,16,34352609,34353327
VN1R69P,16,34368885,34369446
TAB2,6,149539777,149732749
STOML2,9,35099888,35103154
UBE2MP1,16,34404063,34404612
SLC25A1P4,16,34407687,34408464
OR4B1,11,48238344,48239314
OR4X2,11,48266608,48267622
OR4X1,11,48285413,48286330
FGFR3P5,16,34466783,34470355
OR4S1,11,48327775,48328704
OR4C3,11,48346472,48347507
OR4C5,11,48387037,48388017
OR4A47,11,48510269,48511332
APOF,12,56754353,56756607
TRIM49B,11,49050504,49059579
TIMELESS,12,56810903,56843187
AGGF1P4,16,34623574,34624374
SUMO4,6,149721495,149722177
ZC3H12D,6,149768794,149806197
TRIM64C,11,49075266,49080664
FOLH1,11,49168187,49230222
WDR89,14,64063757,64108579
SGPP1,14,64150932,64194757
PPIL4,6,149825869,149867174
MESDC2,15,81239667,81282219
HMGN2P41,16,35037240,35037651
VN1R70P,16,35071257,35072103
PPP1R1AP2,16,35146491,35146887
SYNE2,14,64319683,64693165
ANKRD26P1,16,46503253,46603009
MIP,12,56843286,56862950
FAM214B,9,35104109,35115999
SPRYD4,12,56862301,56864763
GLS2,12,56864736,56882198
RAB43P1,16,46660316,46660904
CKBP1,16,46876544,46878530
GINM1,6,149887430,149912884
RPL23AP72,16,47184043,47184477
EIF4BP5,16,47599001,47600795
KATNA1,6,149916009,149970108
UNC13B,9,35161999,35405335
RPS20P22,8,38291865,38293182
RNF5P1,8,38458179,38458718
MESDC1,15,81293295,81296342
RPL3P10,8,39015057,39016220
UBA52P8,16,48368382,48368765
C15orf26,15,81299374,81441516
MOCS1P1,16,48530901,48532512
ADAM5,8,39172110,39274897
RPS2P44,16,48611435,48612280
KLF8P1,16,48751996,48753052
OR4C13,11,49973943,49974971
OR4C12,11,50003009,50004071
OR4A5,11,51411378,51412448
IL16,15,81451916,81605104
RBMS2,12,56915713,56984745
OR4C46,11,51515282,51516211
TRIM48,11,55029658,55038595
LATS1,6,149979289,150039392
SLC10A6,4,87744621,87770416
C4orf36,4,87797358,87857354
OR4A16,11,55110627,55111707
OR4A15,11,55135360,55136394
ADAM3B,16,49551673,49552512
MRPS21P7,16,49741917,49742154
OR4C15,11,55321783,55322895
MRPS21P8,16,49798365,49798599
ADAM3A,8,39308564,39380371
OR4C16,11,55339604,55340536
OR4C11,11,55370830,55371874
RPL34P29,16,49968939,49969263
OR4P4,11,55405834,55406772
OR4S2,11,55418380,55419315
OR4C6,11,55432614,55433671
OR5D13,11,55540914,55541858
AFF1,4,87856154,88062206
OR5D14,11,55563032,55563976
RPL10P14,16,50185191,50185488
OR5L1,11,55578854,55579952
OR5D18,11,55587086,55588073
OR5L2,11,55594695,55595630
OR5D16,11,55606228,55607214
NUP43,6,150045451,150070801
RPS29P2,8,41128950,41129085
KRT18P37,8,41368759,41370040
TRIM51,11,55650773,55659286
KLHL8,4,88081255,88141760
OR5W2,11,55681126,55682058
OR5I1,11,55702932,55703876
OR10AG1,11,55734975,55735990
OR5F1,11,55761157,55762101
STARD5,15,81601394,81616524
BAZ2A,12,56989380,57030600
VN1R46P,8,43075103,43075952
TMC3,15,81623558,81666554
OR5AS1,11,55797895,55798869
OR8I2,11,55860753,55861762
AFG3L2P1,8,43125341,43127105
OR8H2,11,55872519,55873457
HSD17B13,4,88224941,88244058
OR8H3,11,55889849,55890787
OR8J3,11,55904247,55905194
OR8K5,11,55926870,55927793
POTEA,8,43147626,43218661
OR5J2,11,55944094,55945032
UNGP1,16,51311763,51313023
OR5T2,11,55999490,56000737
OR5T3,11,56019676,56020698
HSD17B11,4,88257762,88312538
OR5T1,11,56043029,56044146
GRID2,4,93225550,94695707
OR8H1,11,56057529,56058566
OR8K3,11,56085783,56086721
UBTD1,10,99258625,99330966
SNX18P27,8,43368786,43369564
OR8K1,11,56113421,56114507
OR8J1,11,56127691,56128764
CYP4F44P,8,43395116,43396070
SOX5P,8,88800790,88801916
PCMT1,6,150070579,150132556
MEX3B,15,82334119,82338482
ASNSP1,8,47490835,47526145
KRT8P4,8,90424850,90427300
NUDT9,4,88343734,88380606
NMB,15,85198360,85201794
OR8U1,11,56143100,56144029
SEC11A,15,85212775,85259947
OR5R1,11,56184734,56185708
OR5M9,11,56229945,56230877
ASNSP4,8,47609252,47610310
OR5M3,11,56236964,56238014
OR5M8,11,56257825,56258871
EFTUD1,15,82422571,82555104
ANKRD2,10,99332198,99343641
ATOH1,4,94750042,94751221
COX6B1P6,8,90835776,90836030
OR5M11,11,56309746,56310757
OR5M10,11,56344212,56345263
SMARCAD1,4,95128762,95212443
OR5M1,11,56380031,56380978
OR5AP2,11,56408942,56409947
TRIM60P15,8,47703687,47704686
LINC00293,8,47733859,47765929
OR5AR1,11,56431138,56432163
OR9G1,11,56467864,56468781
MTND1P7,8,47738850,47740031
MTND6P20,8,47750410,47750827
OR9G4,11,56510303,56511287
OR5AK2,11,56756347,56757342
MAPK6PS4,8,47884099,47886240
LRRC55,11,56949221,56959191
RPL10AP2,8,48068741,48069394
LINC00534,8,91233716,91581546
HOGA1,10,99344080,99372559
SPARCL1,4,88394487,88452213
APLNR,11,57001051,57004709
RUSC2,9,35490124,35561895
FAM71D,14,67656110,67695267
ATP6V1G1P2,8,48105625,48105970
TNKS1BP1,11,57067112,57092426
IGLV8OR8-1,8,48114096,48114520
RPL29P19,8,49297150,49297609
MRPS16P1,8,92929735,92930146
ZNF592,15,85291866,85349659
FAM154B,15,82555151,82577271
PI4K2A,10,99344131,99436191
GOLGA6L10,15,82635130,82641706
ALPK3,15,85359911,85416713
PSAT1P1,8,50652776,50653881
ATP5B,12,57031959,57039798
GOLGA6L9,15,82722223,82731338
IRF5P1,8,93984803,93986966
LINC00535,8,94225531,94712661
MPP5,14,67707826,67802536
RPS17,15,82821158,82824972
ZNF317P1,8,94658294,94659320
DSPP,4,88529681,88538062
DAOA-AS1,13,106111404,106158030
HPGDS,4,95219686,95264027
COX6CP3,18,1176791,1177013
LINC00343,13,106357848,106416789
RBM12B-AS2,8,94745444,94746250
DMP1,4,88571459,88585513
LINC00470,18,1254384,1408345
RPL34P17,8,53225714,53226060
SLC28A1,15,85427885,85518876
IBSP,4,88720733,88733074
LRP11,6,150139934,150186199
LINC00344,13,106382235,106384063
